TALLER,FECHA,CATEGORIA
15,,
16,,
17,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Septiembre 55, 2020","ARTES ESCENICAS, Conferencias y ponencias, Formación, Ingreso libre, Instituciones de la Red INFOARTES, Oportunidades y recursos, Talleres y especialización, Teatro"
Patrimonio Cultural,"Septiembre 31, 2020","Conferencias y ponencias, Exposiciones, Formación, Fotografía, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización"
Industrias culturales y artes,"Septiembre 13, 2020","Conferencias y ponencias, Formación, Oferta Educativa Profesional, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Interculturalidad,"Septiembre 27, 2020","Conferencias y ponencias, Herramientas de autoformación, Talleres y especialización"
Defensa del Patrimonio,"Agosto 09, 2020","Exposiciones, Formación, Herramientas de autoformación, Talleres y especialización"
"","Agosto 41, 2020","Conferencias y ponencias, Exposiciones, Exposiciones, Talleres y especialización"
"Artes escénicas, visuales y música","Agosto 54, 2020","Conferencias y ponencias, Exposiciones, Formación, Herramientas de autoformación, Talleres y especialización"
Libro y la lectura,"Marzo 40, 2020","Danza, Formación, Oferta Educativa Profesional, Oportunidades y recursos, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
ENCUENTRO PASE – PROGRAMA DE ARTES EN LA ESCUELA,,
ARTES ESCENICAS,,
Conferencias y ponencias,,
Formación,,
Ingreso libre,,
Instituciones de la Red INFOARTES,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE,,
Conferencias y ponencias,,
Exposiciones,,
Formación,,
Fotografía,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
"",,
CONECTA EMPRENDE,,
Conferencias y ponencias,,
Formación,,
Oferta Educativa Profesional,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
RECORDATORIO CHARLA INFORMATIVA: CONOCE MAS SOBRE EL BONO FAMILIAR UNIVERSAL,,
Conferencias y ponencias,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
Inscríbete a las charlas informativas regionales sobre las Líneas de apoyo para la cultura.,,
Exposiciones,,
Formación,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
"Charlas dirigidas a colectivos culturales: sector escénicas, música y artes visuales",,
Conferencias y ponencias,,
Exposiciones,,
Exposiciones,,
Talleres y especialización,,
"",,
Beneficios de la formalización con SUNARP: Dirigido a artistas,,
Conferencias y ponencias,,
Exposiciones,,
Formación,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2020,,
Danza,,
Formación,,
Oferta Educativa Profesional,,
Oportunidades y recursos,,
Talleres y especialización,,
 ,,
1,,
2,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Enero 40, 2020","artistas, Formación, fotografias, Oportunidades y recursos, Talleres y especialización"
Patrimonio Cultural,"Diciembre 33, 2019","Formación, Talleres y especialización"
Industrias culturales y artes,"Noviembre 12, 2019","ARTES ESCENICAS, Conferencias y ponencias, Danza, Exposiciones, Formación, Ingreso libre, Ingreso libre, Oferta Educativa Profesional, Talleres y especialización, Teatro"
Interculturalidad,"Noviembre 08, 2019",Talleres y especialización
Defensa del Patrimonio,"Octubre 11, 2019",Talleres y especialización
"","Octubre 26, 2019","Conferencias y ponencias, Exposiciones, Ingreso libre, Investigadores escénicos, Talleres y especialización"
"Artes escénicas, visuales y música","Octubre 13, 2019","Beneficiarios 2018, Estímulos Económicos, Formación, Talleres y especialización"
Libro y la lectura,"Octubre 31, 2019","Formación, Oportunidades y recursos, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
TALLER DE CIANOTIPIA “HUELLAS SOLARES”,,
artistas,,
Formación,,
fotografias,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
JORNADA PASE DICIEMBRE  2019,,
Formación,,
Talleres y especialización,,
"",,
ENCUENTRO INTERNACIONAL DE ARTES ESCÉNICAS – IBERESCENA,,
ARTES ESCENICAS,,
Conferencias y ponencias,,
Danza,,
Exposiciones,,
Formación,,
Ingreso libre,,
Ingreso libre,,
Oferta Educativa Profesional,,
Talleres y especialización,,
Teatro,,
"",,
TALLER: CREAR MI PORTAFOLIO ARTÍSTICO,,
Talleres y especialización,,
"",,
[RECORDATORIO] PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019,,
Talleres y especialización,,
"",,
Programa Cuerda Firme: Circo Para Transformar,,
Conferencias y ponencias,,
Exposiciones,,
Ingreso libre,,
Investigadores escénicos,,
Talleres y especialización,,
"",,
"Encuentro de Narradores Orales del PERÚ en el marco del Festival Internacional de Narración Oral del Perú: Todas las Palabras, Todas!",,
Beneficiarios 2018,,
Estímulos Económicos,,
Formación,,
Talleres y especialización,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
