TALLER,FECHA,CATEGORIA
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Septiembre 46, 2018","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro"
Patrimonio Cultural,"Julio 45, 2018","Centros culturales, Concursos y premios, Convocatorias, DIRECTORIOS, Editoriales, Escuelas Superiores de Arte, Exposiciones, Festivales, Formación, Galerías, Intervenciones, Investigadores visuales, Museos, Talleres y especialización"
Industrias culturales y artes,"Junio 53, 2018","artistas, Centros culturales, Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Interculturalidad,"Junio 10, 2018","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Junio 05, 2018","Formación, Talleres y especialización"
"","Mayo 48, 2018","Convocatorias, Formación, Oportunidades y recursos, Talleres y especialización, Teatro"
"Artes escénicas, visuales y música","Marzo 29, 2018","Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro"
Libro y la lectura,"Marzo 04, 2018","Formación, Oportunidades y recursos, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 29 de setiembre. Taller “Dinámica teatral: transitando por distintos caminos escénicos”.,,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
CONVOCATORIA DE PROYECTOS DE ARTES VISUALES 2019,,
Centros culturales,,
Concursos y premios,,
Convocatorias,,
DIRECTORIOS,,
Editoriales,,
Escuelas Superiores de Arte,,
Exposiciones,,
Festivales,,
Formación,,
Galerías,,
Intervenciones,,
Investigadores visuales,,
Museos,,
Talleres y especialización,,
"",,
TALLER DE HAIKU VISUAL EN EL CENTRO CULTURAL PERUANO JAPONÉS,,
artistas,,
Centros culturales,,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
Abren Taller de Escritura Creativa en Miraflores,,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 23 de junio. Taller “Educación musical: de la metodología a la vivencia significativa”.,,
Formación,,
Talleres y especialización,,
"",,
NUEVOS CURSOS DE OTOÑO 2018 EN EL CLUB DE TEATRO DE LIMA,,
Convocatorias,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
CONTINÚAN LAS INSCRIPCIONES PARA LOS  CURSOS DE VERANO 2018 EN EL CLUB DE TEATRO DE LIMA,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
JORGE EINES OFRECERÁ TALLER EN LIMA,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Febrero 25, 2018","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Patrimonio Cultural,"Febrero 57, 2018","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Industrias culturales y artes,"Febrero 41, 2018","Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro"
Interculturalidad,"Enero 35, 2018","Formación, Música, Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Enero 12, 2018","Convocatorias, Formación, Oportunidades y recursos, Talleres y especialización"
"","Enero 33, 2018","Formación, Oportunidades y recursos, Talleres y especialización"
"Artes escénicas, visuales y música","Diciembre 30, 2017","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Libro y la lectura,"Diciembre 53, 2017","Centros culturales, Formación, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
ARTE CORPUS PRESENTA EL SEMINARIO – TALLER “EL SECRETO DE LOS LIBROS MARAVILLOSOS”,,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
ARTE CORPUS INVITA A PARTICIPAR DEL “TALLER INTEGRAL DE ACUARELA”,,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
TALLERES INTERNACIONALES del FAE Lima 2018,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
"ZUMO TE INVITA A PARTICIPAR DEL TALLER “Gestión, desarrollo y producción de proyectos musicales”",,
Formación,,
Música,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
MUNICIPALIDAD DE LIMA LANZA TALLERES MULTIDISCIPLINARIOS PARA REVALORAR EL PATRIMONIO CULTURAL DE LA CIUDAD DE LIMA,,
Convocatorias,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
TALLERES DE ARTE: Súmale arte a tu verano!,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
TALLERES DE VERANO 2018 en El Centro Cultural El Olivar y en El Museo Marina Núñez del Prado de la Municipalidad de San Isidro,,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
TALLERES DE VERANO 2018  Superhéroes creando mundos”  Centro Cultural de la Universidad Nacional de Ingeniería  Proyecto Esencia Vital,,
Centros culturales,,
Formación,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Noviembre 38, 2017","Formación, Oportunidades y recursos, Talleres y especialización"
Patrimonio Cultural,"Noviembre 34, 2017","Centros culturales, Talleres y especialización"
Industrias culturales y artes,"Octubre 57, 2017","Cine y audiovisuales, Exposiciones, Herramientas de autoformación, Talleres y especialización"
Interculturalidad,"Octubre 44, 2017","Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Agosto 02, 2017","Cine y audiovisuales, Oportunidades y recursos, Talleres y especialización"
"","Agosto 22, 2017","Talleres y especialización, Teatro"
"Artes escénicas, visuales y música","Junio 15, 2017",Talleres y especialización
Libro y la lectura,"Mayo 53, 2017","Conferencias y ponencias, Formación, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2017. Sábado 18 de noviembre de 9:00 am a 6:00 pm en el Ministerio de Cultura. Tema: Artes Escénicas.,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
VI ENCUENTRO INTERNACIONAL DE NARRADORES ORALES: BENDITA SEA LA PALABRA,,
Centros culturales,,
Talleres y especialización,,
"",,
“La Escuela Va al Cine”. Sesiones hasta el 17 de noviembre,,
Cine y audiovisuales,,
Exposiciones,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
Taller infantil “Ven a crear tu propio libro” con Viringo Cartonero,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
TALLER INTERNACIONAL GUIÓN DE CINE Y PUESTA EN ESCENA CON CLAUDIA LLOSA.,,
Cine y audiovisuales,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
SELECCIONADOS AL TALLER “SOSTENIBILIDAD Y NUEVOS PÚBLICOS: CÓMO RE-PENSAR PROYECTOS PARA LAS ARTES ESCÉNICAS”.,,
Talleres y especialización,,
Teatro,,
"",,
FIAED Festival Internacional de Artes Escénicas por la Diversidad,,
Talleres y especialización,,
"",,
"ENCUENTRO DE ARTE, CULTURA Y EDUCACIÓN 2 y 3 de junio en el Ministerio de Cultura",,
Conferencias y ponencias,,
Formación,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Abril 43, 2017","artistas, Galerías, Intervenciones, Oportunidades y recursos, Talleres y especialización"
Patrimonio Cultural,"Abril 45, 2017","Oportunidades y recursos, Talleres y especialización"
Industrias culturales y artes,"Abril 52, 2017","Formación, Oportunidades y recursos, Talleres y especialización, Teatro"
Interculturalidad,"Marzo 10, 2017","Formación, Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Marzo 07, 2017","Formación, Talleres y especialización"
"","Marzo 03, 2017","Formación, Oportunidades y recursos, Talleres y especialización"
"Artes escénicas, visuales y música","Marzo 21, 2017","Formación, Talleres y especialización"
Libro y la lectura,"Marzo 55, 2017","Formación, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
WORKSHOP DE INTERVENCIÓN CREATIVA DE OBJETOS ORGANIZADO POR ARTE MANIFIESTO ESTE 22 DE ABRIL A PARTIR DE LAS 9:00 A.M.,,
artistas,,
Galerías,,
Intervenciones,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
[NOTA DE PRENSA] SEMANA SANTA EN EL MUSEO DE LOS DESCALZOS.,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
"[TALLER]: CLOWN CON VALERIA ESCANDÓN. INSCRIPCIONES ABIERTAS, CUPOS LIMITADOS.",,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
"[WORKSHOP] YUPANA INCA: INICIACIÓN EN LA MATEMÁTICA INCA. 25 DE MARZO, MIRAFLORES.",,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Música popular en Lima”. Inicio 22 de marzo.,,
Formación,,
Talleres y especialización,,
"",,
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Sentidos del cine: ¿Qué hay detrás de las imágenes?”. Inicio 21 de marzo.,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Inteligencia emocional”. Inicio 20 de Marzo.,,
Formación,,
Talleres y especialización,,
"",,
[Talleres de formación] Curso “Poesía europea moderna” en el Centro Cultural de la Universidad de Piura. Inicio 23 de marzo.,,
Formación,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Marzo 13, 2017",Talleres y especialización
Patrimonio Cultural,"Marzo 12, 2017",Talleres y especialización
Industrias culturales y artes,"Febrero 01, 2017","Formación, Herramientas de autoformación, Talleres y especialización"
Interculturalidad,"Febrero 27, 2017",Talleres y especialización
Defensa del Patrimonio,"Febrero 48, 2017",Talleres y especialización
"","Febrero 10, 2017","Formación, Talleres y especialización"
"Artes escénicas, visuales y música","Febrero 56, 2017","Formación, Talleres y especialización"
Libro y la lectura,"Febrero 51, 2017","Formación, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
TALLER DE PUBLICACION DIGITAL EN EL ICPNA DE MIRAFLORES. 11 AL 18 DE MARZO. REVISTA KAYPUNKU,,
Talleres y especialización,,
"",,
[Resultados] HABITACIÓN PROPIA: TRES LECCIONES SOBRE LA AUTONOMÍA DEL ACTOR,,
Talleres y especialización,,
"",,
Manual para Emprendedores Culturales se presentó en el segundo día del Encuentro CONECTA: Cultura y emprendimiento,,
Formación,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
[Resultados] TALLERES INTERNACIONALES DE ARTES ESCÉNICAS EN EL MARCO DEL FAE LIMA 2017,,
Talleres y especialización,,
"",,
[Workshop] Iniciación en la Matemática Inka – Viernes 24 de febrero,,
Talleres y especialización,,
"",,
TALLERES INTERNACIONALES DE ARTES ESCÉNICAS EN EL MARCO DEL FAE LIMA 2017.  Los talleres son de acceso libre previa postulación hasta el 19 de febrero.,,
Formación,,
Talleres y especialización,,
"",,
"[Talleres] Hacer cosas con sonido, introducción al arte sonoro por Luis Alvarado",,
Formación,,
Talleres y especialización,,
"",,
[Talleres] Introducción a la poesía experimental por Luis Alvarado,,
Formación,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Enero 34, 2017",Talleres y especialización
Patrimonio Cultural,"Enero 21, 2017",Talleres y especialización
Industrias culturales y artes,"Enero 54, 2017",Talleres y especialización
Interculturalidad,"Diciembre 58, 2016","Formación, Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Diciembre 44, 2016","Formación, Oportunidades y recursos, Talleres y especialización"
"","Diciembre 40, 2016","Formación, Talleres y especialización"
"Artes escénicas, visuales y música","Diciembre 23, 2016","Estadísticas, Talleres y especialización"
Libro y la lectura,"Noviembre 04, 2016","Formación, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
Convocatoria para el primero de los dos talleres que Gilbert Rouviere dictará en el CCUP. Hasta el 27 de enero,,
Talleres y especialización,,
"",,
Taller de teatro para personas con discapacidad auditiva – 2017. Inicio 15 de enero,,
Talleres y especialización,,
"",,
Conoce la programación de los Talleres de Artes Verano 2017 del Ministerio de Cultura,,
Talleres y especialización,,
"",,
"“X Foro Internacional de Animación” en el Cairo, Egipto del 16 al 23 de febrero",,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
“IV ENCUENTRO INTERNACIONAL DE IMPROVISACIÓN POR CONTACTO AYNI – COOPERACIÓN Y RECIPROCIDAD” DEL 28 DE DICIEMBRE AL 06 DE ENERO – INSCRIPCIONES ABIERTAS,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
Difunden en Perú innovador método ruso de apreciación musical en niños: Mundo Mozart Perú.,,
Formación,,
Talleres y especialización,,
"",,
Segundo Taller Regional Cuentas Satélite de Cultura,,
Estadísticas,,
Talleres y especialización,,
"",,
Charla Creativa : “Ilustración 360 con Mr. Tronch” el viernes 02 de diciembre,,
Formación,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Noviembre 55, 2016","Oportunidades y recursos, Talleres y especialización"
Patrimonio Cultural,"Noviembre 22, 2016","Formación, Talleres y especialización"
Industrias culturales y artes,"Noviembre 14, 2016","Formación, Oportunidades y recursos, Talleres y especialización"
Interculturalidad,"Noviembre 59, 2016","Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Octubre 40, 2016","Oportunidades y recursos, Talleres y especialización"
"","Septiembre 28, 2016","Centros culturales, Festivales, Oportunidades y recursos, Talleres y especialización"
"Artes escénicas, visuales y música","Septiembre 10, 2016","Formación, Talleres y especialización"
Libro y la lectura,"Septiembre 40, 2016",Talleres y especialización
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
Taller: “Electrónica en el arte y la interactividad”,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
PROGRAMA DE ARTES ESCÉNICAS EN LA ESCUELA – PASEE 2016. Sábado 26 de noviembre en el Colegio Melitón Carvajal (LINCE),,
Formación,,
Talleres y especialización,,
"",,
[Taller] Experimentar el Estado de Payaso – Asociación Cultural Hamuy Teatro,,
Formación,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
[CONVOCATORIA] XII Encuentro Internacional de Productores: Taller de formación de productores cinematográficos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
"V Encuentro de artistas, artesanos y diseñadores: Integrando experiencias ante los nuevos escenarios",,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
[Festival] Tercer festival de la palabra PUCP del 19 al 23 de octubre.,,
Centros culturales,,
Festivales,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
Conecta 2016: “ESPACIO IDEA” convoca emprendedores culturales. Inscripciones hasta el 25 de setiembre,,
Formación,,
Talleres y especialización,,
"",,
"[SEMINARIO] Literatura, pintura y arquitectura en el discurso cultural en el Perú",,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Septiembre 05, 2016","Conferencias y ponencias, Formación, Talleres y especialización"
Patrimonio Cultural,"Septiembre 55, 2016","Oportunidades y recursos, Talleres y especialización"
Industrias culturales y artes,"Septiembre 50, 2016","Formación, Talleres y especialización"
Interculturalidad,"Septiembre 30, 2016","Formación, Talleres y especialización"
Defensa del Patrimonio,"Septiembre 24, 2016","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
"","Agosto 53, 2016","Formación, Talleres y especialización"
"Artes escénicas, visuales y música","Agosto 37, 2016",Talleres y especialización
Libro y la lectura,"Agosto 26, 2016","Formación, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
CONECTA: CULTURA Y EMPRENDIMIENTO. ENCUENTRO CONECTA 2016,,
Conferencias y ponencias,,
Formación,,
Talleres y especialización,,
"",,
[Taller] Formación actoral y pedagogía teatral por Débora Astrosky,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
Educación de la voz. Centro Cultural UDEP,,
Formación,,
Talleres y especialización,,
"",,
¿Qué es el ser humano? Un curso de Antropología. Centro Cultural UDEP,,
Formación,,
Talleres y especialización,,
"",,
"[Taller] Introducción a las políticas culturales dirigido por Santiago Alfaro. Miércoles 21 y 28 de setiembre, 5,19 y 26 de octubre",,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 10 de setiembre Tema: Danza,,
Formación,,
Talleres y especialización,,
"",,
[Talleres de Arte Ministerio de Cultura] Inscripciones  hasta el 07 de setiembre.,,
Talleres y especialización,,
"",,
Inscripciones para los TALLERES CREATIVOS AGOSTO /// 2016. Espacio Los Únicos,,
Formación,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Agosto 55, 2016","Formación, Talleres y especialización"
Patrimonio Cultural,"Agosto 10, 2016",Talleres y especialización
Industrias culturales y artes,"Julio 10, 2016","Formación, Talleres y especialización"
Interculturalidad,"Junio 54, 2016","Oportunidades y recursos, Talleres y especialización"
Defensa del Patrimonio,"Junio 09, 2016",Talleres y especialización
"","Mayo 45, 2016","Herramientas de autoformación, Talleres y especialización"
"Artes escénicas, visuales y música","Mayo 24, 2016","Formación, Talleres y especialización"
Libro y la lectura,"Mayo 24, 2016",Talleres y especialización
