Pais,Tasa,Conteo,Region,Subregion,A�o
Tayikistán,"1,5",126,Asia,Asia Central,2011
Turkmenistán,"4,2",203,Asia,Asia Central,2006
Uzbekistán,"1,1",363,Asia,Asia Central,2017
China,"0,6",7990,Asia,Asia Oriental,2017
Taiwán,"0,8",192,Asia,Asia Oriental,2015
Corea del Norte,"4,4",1110,Asia,Asia Oriental,2015
Corea del Sur,"0,6",301,Asia,Asia Oriental,2017
Hong Kong,"0,3",24,Asia,Asia Oriental,2017
Japón,"0,2",306,Asia,Asia Oriental,2017
Macao,"0,3",2,Asia,Asia Oriental,2017
Mongolia,"6,2",191,Asia,Asia Oriental,2017
Birmania (Myanmar),"2,3",1198,Asia,Sudeste de Asia,2016
Brunéi,"0,5",2,Asia,Sudeste de Asia,2013
Camboya,"1,8",268,Asia,Sudeste de Asia,2011
Filipinas,"8,4",8826,Asia,Sudeste de Asia,2017
Indonesia,"0,4",1150,Asia,Sudeste de Asia,2017
Laos,"7,0",467,Asia,Sudeste de Asia,2015
Malasia,"2,1",627,Asia,Sudeste de Asia,2013
Singapur,"0,2",11,Asia,Sudeste de Asia,2017
Tailandia,"3,2",2229,Asia,Sudeste de Asia,2016
Timor Oriental,"3,9",49,Asia,Sudeste de Asia,2015
Vietnam,"1,5",1358,Asia,Sudeste de Asia,2011
Afganistán,"7,1",2515,Asia,Sur de Asia,2017
Bangladés,"2,2",3549,Asia,Sur de Asia,2017
Bután,"1,6",13,Asia,Sur de Asia,2017
India,"3,2",42678,Asia,Sur de Asia,2016
Irán,"2,5",1936,Asia,Sur de Asia,2014
Maldivas,"0,8",3,Asia,Sur de Asia,2013
Nepal,"2,2",627,Asia,Sur de Asia,2016
Pakistán,"4,2",8235,Asia,Sur de Asia,2017
Sri Lanka,"2,3",486,Asia,Sur de Asia,2017
Arabia Saudí,"1,3",419,Asia,Oeste de Asia,2017
Armenia,"2,4",70,Asia,Oeste de Asia,2017
Azerbaiyán,"2,0",201,Asia,Oeste de Asia,2017
Baréin,"0,5",7,Asia,Oeste de Asia,2014
Catar,"0,4",9,Asia,Oeste de Asia,2014
Chipre,"0,6",7,Asia,Oeste de Asia,2017
Emiratos Árabes Unidos,"0,5",44,Asia,Oeste de Asia,2017
